[2023-02-10T16:14:20.103+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [queued]>
[2023-02-10T16:14:20.117+0000] {taskinstance.py:1083} INFO - Dependencies all met for <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [queued]>
[2023-02-10T16:14:20.119+0000] {taskinstance.py:1279} INFO - 
--------------------------------------------------------------------------------
[2023-02-10T16:14:20.120+0000] {taskinstance.py:1280} INFO - Starting attempt 1 of 2
[2023-02-10T16:14:20.122+0000] {taskinstance.py:1281} INFO - 
--------------------------------------------------------------------------------
[2023-02-10T16:14:20.140+0000] {taskinstance.py:1300} INFO - Executing <Task(PythonOperator): convertCSVToJson> on 2023-02-01 00:00:00+00:00
[2023-02-10T16:14:20.149+0000] {standard_task_runner.py:55} INFO - Started process 465 to run task
[2023-02-10T16:14:20.155+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'database-build', 'convertCSVToJson', 'scheduled__2023-02-01T00:00:00+00:00', '--job-id', '976', '--raw', '--subdir', 'DAGS_FOLDER/db.py', '--cfg-path', '/tmp/tmp5fnzm6p_']
[2023-02-10T16:14:20.157+0000] {standard_task_runner.py:83} INFO - Job 976: Subtask convertCSVToJson
[2023-02-10T16:14:20.243+0000] {task_command.py:388} INFO - Running <TaskInstance: database-build.convertCSVToJson scheduled__2023-02-01T00:00:00+00:00 [running]> on host 09837ae8efe0
[2023-02-10T16:14:20.336+0000] {taskinstance.py:1509} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Kevin Chalmers
AIRFLOW_CTX_DAG_ID=database-build
AIRFLOW_CTX_TASK_ID=convertCSVToJson
AIRFLOW_CTX_EXECUTION_DATE=2023-02-01T00:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2023-02-01T00:00:00+00:00
[2023-02-10T16:14:20.346+0000] {logging_mixin.py:137} INFO - Woot
[2023-02-10T16:14:20.434+0000] {logging_mixin.py:137} INFO - Sandra Peterson
[2023-02-10T16:14:20.435+0000] {logging_mixin.py:137} INFO - Denise Morse
[2023-02-10T16:14:20.436+0000] {logging_mixin.py:137} INFO - Brianna Smith
[2023-02-10T16:14:20.437+0000] {logging_mixin.py:137} INFO - Tony Miller
[2023-02-10T16:14:20.438+0000] {logging_mixin.py:137} INFO - Jean Booth
[2023-02-10T16:14:20.439+0000] {logging_mixin.py:137} INFO - Penny Salazar
[2023-02-10T16:14:20.441+0000] {logging_mixin.py:137} INFO - Cathy Williams
[2023-02-10T16:14:20.442+0000] {logging_mixin.py:137} INFO - Hannah Collins
[2023-02-10T16:14:20.443+0000] {logging_mixin.py:137} INFO - Maurice Casey
[2023-02-10T16:14:20.444+0000] {logging_mixin.py:137} INFO - Patrick Walker
[2023-02-10T16:14:20.445+0000] {logging_mixin.py:137} INFO - Pamela Barton
[2023-02-10T16:14:20.445+0000] {logging_mixin.py:137} INFO - Anthony Bryant
[2023-02-10T16:14:20.446+0000] {logging_mixin.py:137} INFO - Andrew Harris
[2023-02-10T16:14:20.447+0000] {logging_mixin.py:137} INFO - Aaron Harris
[2023-02-10T16:14:20.448+0000] {logging_mixin.py:137} INFO - Maureen Soto
[2023-02-10T16:14:20.449+0000] {logging_mixin.py:137} INFO - Crystal Mcdaniel
[2023-02-10T16:14:20.450+0000] {logging_mixin.py:137} INFO - Lauren Barrett
[2023-02-10T16:14:20.451+0000] {logging_mixin.py:137} INFO - Brandon Perez
[2023-02-10T16:14:20.452+0000] {logging_mixin.py:137} INFO - Mark Robertson
[2023-02-10T16:14:20.452+0000] {logging_mixin.py:137} INFO - Nicole Gates
[2023-02-10T16:14:20.453+0000] {logging_mixin.py:137} INFO - Bradley Cruz
[2023-02-10T16:14:20.454+0000] {logging_mixin.py:137} INFO - Gina Burns
[2023-02-10T16:14:20.455+0000] {logging_mixin.py:137} INFO - Zachary Martinez
[2023-02-10T16:14:20.456+0000] {logging_mixin.py:137} INFO - Natasha Johnson
[2023-02-10T16:14:20.457+0000] {logging_mixin.py:137} INFO - Patrick Gonzales
[2023-02-10T16:14:20.458+0000] {logging_mixin.py:137} INFO - Terri Wilson
[2023-02-10T16:14:20.459+0000] {logging_mixin.py:137} INFO - Sarah Lopez
[2023-02-10T16:14:20.460+0000] {logging_mixin.py:137} INFO - Dana Turner
[2023-02-10T16:14:20.461+0000] {logging_mixin.py:137} INFO - Cynthia Johnson
[2023-02-10T16:14:20.462+0000] {logging_mixin.py:137} INFO - William Thornton
[2023-02-10T16:14:20.463+0000] {logging_mixin.py:137} INFO - James Lee
[2023-02-10T16:14:20.464+0000] {logging_mixin.py:137} INFO - Stephen Allen
[2023-02-10T16:14:20.465+0000] {logging_mixin.py:137} INFO - William Stark
[2023-02-10T16:14:20.466+0000] {logging_mixin.py:137} INFO - Michael Parker
[2023-02-10T16:14:20.467+0000] {logging_mixin.py:137} INFO - Lisa Stephens
[2023-02-10T16:14:20.468+0000] {logging_mixin.py:137} INFO - Mr. Reginald Wise DDS
[2023-02-10T16:14:20.469+0000] {logging_mixin.py:137} INFO - Alexander James
[2023-02-10T16:14:20.470+0000] {logging_mixin.py:137} INFO - Kristen West
[2023-02-10T16:14:20.471+0000] {logging_mixin.py:137} INFO - Elizabeth Sanchez
[2023-02-10T16:14:20.472+0000] {logging_mixin.py:137} INFO - Jennifer Wilson
[2023-02-10T16:14:20.473+0000] {logging_mixin.py:137} INFO - Catherine Nicholson
[2023-02-10T16:14:20.473+0000] {logging_mixin.py:137} INFO - David Henderson
[2023-02-10T16:14:20.474+0000] {logging_mixin.py:137} INFO - Stephen Davis
[2023-02-10T16:14:20.475+0000] {logging_mixin.py:137} INFO - Paul Skinner
[2023-02-10T16:14:20.476+0000] {logging_mixin.py:137} INFO - Rebecca Wong
[2023-02-10T16:14:20.477+0000] {logging_mixin.py:137} INFO - Tara Benitez
[2023-02-10T16:14:20.478+0000] {logging_mixin.py:137} INFO - Sharon Miller
[2023-02-10T16:14:20.478+0000] {logging_mixin.py:137} INFO - Cynthia Smith
[2023-02-10T16:14:20.479+0000] {logging_mixin.py:137} INFO - Jennifer Werner
[2023-02-10T16:14:20.480+0000] {logging_mixin.py:137} INFO - Rebecca Tucker
[2023-02-10T16:14:20.481+0000] {logging_mixin.py:137} INFO - Ashlee Castillo
[2023-02-10T16:14:20.482+0000] {logging_mixin.py:137} INFO - Christopher Holmes
[2023-02-10T16:14:20.483+0000] {logging_mixin.py:137} INFO - Daniel Velez
[2023-02-10T16:14:20.484+0000] {logging_mixin.py:137} INFO - Amy Serrano
[2023-02-10T16:14:20.485+0000] {logging_mixin.py:137} INFO - Alison Nash
[2023-02-10T16:14:20.486+0000] {logging_mixin.py:137} INFO - Peter Johnson
[2023-02-10T16:14:20.486+0000] {logging_mixin.py:137} INFO - Breanna Harris
[2023-02-10T16:14:20.487+0000] {logging_mixin.py:137} INFO - Eric King
[2023-02-10T16:14:20.488+0000] {logging_mixin.py:137} INFO - Patricia Oliver
[2023-02-10T16:14:20.489+0000] {logging_mixin.py:137} INFO - Denise Grimes
[2023-02-10T16:14:20.491+0000] {logging_mixin.py:137} INFO - Jill Olson
[2023-02-10T16:14:20.492+0000] {logging_mixin.py:137} INFO - Stephanie Hart
[2023-02-10T16:14:20.493+0000] {logging_mixin.py:137} INFO - Ashley Lee
[2023-02-10T16:14:20.494+0000] {logging_mixin.py:137} INFO - Kelly Barnes
[2023-02-10T16:14:20.495+0000] {logging_mixin.py:137} INFO - Christie West
[2023-02-10T16:14:20.496+0000] {logging_mixin.py:137} INFO - Todd Nolan
[2023-02-10T16:14:20.497+0000] {logging_mixin.py:137} INFO - Sarah Reed
[2023-02-10T16:14:20.498+0000] {logging_mixin.py:137} INFO - Jennifer Keith
[2023-02-10T16:14:20.499+0000] {logging_mixin.py:137} INFO - Shawn Alvarez
[2023-02-10T16:14:20.500+0000] {logging_mixin.py:137} INFO - Alexander Wilson
[2023-02-10T16:14:20.501+0000] {logging_mixin.py:137} INFO - Rachel Melendez
[2023-02-10T16:14:20.501+0000] {logging_mixin.py:137} INFO - Morgan Walters
[2023-02-10T16:14:20.502+0000] {logging_mixin.py:137} INFO - Nicole Garcia
[2023-02-10T16:14:20.503+0000] {logging_mixin.py:137} INFO - Jennifer White
[2023-02-10T16:14:20.504+0000] {logging_mixin.py:137} INFO - Leslie Shannon
[2023-02-10T16:14:20.505+0000] {logging_mixin.py:137} INFO - Lisa Clayton
[2023-02-10T16:14:20.506+0000] {logging_mixin.py:137} INFO - Zachary Molina
[2023-02-10T16:14:20.507+0000] {logging_mixin.py:137} INFO - Bruce Butler
[2023-02-10T16:14:20.508+0000] {logging_mixin.py:137} INFO - Dustin Howell
[2023-02-10T16:14:20.509+0000] {logging_mixin.py:137} INFO - Aaron Smith
[2023-02-10T16:14:20.509+0000] {logging_mixin.py:137} INFO - Kyle Green
[2023-02-10T16:14:20.510+0000] {logging_mixin.py:137} INFO - Steven Clark
[2023-02-10T16:14:20.511+0000] {logging_mixin.py:137} INFO - Robert Holden
[2023-02-10T16:14:20.512+0000] {logging_mixin.py:137} INFO - Zachary Harmon
[2023-02-10T16:14:20.513+0000] {logging_mixin.py:137} INFO - Rachel Miller
[2023-02-10T16:14:20.514+0000] {logging_mixin.py:137} INFO - Brandon Parker
[2023-02-10T16:14:20.515+0000] {logging_mixin.py:137} INFO - Walter Martin
[2023-02-10T16:14:20.516+0000] {logging_mixin.py:137} INFO - Jose Young
[2023-02-10T16:14:20.517+0000] {logging_mixin.py:137} INFO - Kelsey Long
[2023-02-10T16:14:20.518+0000] {logging_mixin.py:137} INFO - William Harper
[2023-02-10T16:14:20.519+0000] {logging_mixin.py:137} INFO - Alejandro Lambert
[2023-02-10T16:14:20.520+0000] {logging_mixin.py:137} INFO - Stephanie Carson
[2023-02-10T16:14:20.521+0000] {logging_mixin.py:137} INFO - Diana Ortega MD
[2023-02-10T16:14:20.522+0000] {logging_mixin.py:137} INFO - Janet Morales
[2023-02-10T16:14:20.523+0000] {logging_mixin.py:137} INFO - Eric Fisher
[2023-02-10T16:14:20.524+0000] {logging_mixin.py:137} INFO - Louis Baker
[2023-02-10T16:14:20.525+0000] {logging_mixin.py:137} INFO - Cindy Ward
[2023-02-10T16:14:20.526+0000] {logging_mixin.py:137} INFO - Ana Jenkins
[2023-02-10T16:14:20.527+0000] {logging_mixin.py:137} INFO - Leslie Barton
[2023-02-10T16:14:20.528+0000] {logging_mixin.py:137} INFO - Gregory Price
[2023-02-10T16:14:20.529+0000] {logging_mixin.py:137} INFO - Brandon Moore
[2023-02-10T16:14:20.529+0000] {logging_mixin.py:137} INFO - Heather Garrett
[2023-02-10T16:14:20.531+0000] {logging_mixin.py:137} INFO - Cindy Hawkins
[2023-02-10T16:14:20.532+0000] {logging_mixin.py:137} INFO - Mr. Frank Snyder Jr.
[2023-02-10T16:14:20.533+0000] {logging_mixin.py:137} INFO - Megan Wang
[2023-02-10T16:14:20.533+0000] {logging_mixin.py:137} INFO - Jennifer Fleming
[2023-02-10T16:14:20.534+0000] {logging_mixin.py:137} INFO - Gary Hodge
[2023-02-10T16:14:20.535+0000] {logging_mixin.py:137} INFO - Nichole Miller
[2023-02-10T16:14:20.536+0000] {logging_mixin.py:137} INFO - Mitchell Mendoza
[2023-02-10T16:14:20.537+0000] {logging_mixin.py:137} INFO - Bradley Horton
[2023-02-10T16:14:20.538+0000] {logging_mixin.py:137} INFO - Michelle Hess
[2023-02-10T16:14:20.539+0000] {logging_mixin.py:137} INFO - Ronald Torres
[2023-02-10T16:14:20.540+0000] {logging_mixin.py:137} INFO - Raymond Hudson
[2023-02-10T16:14:20.541+0000] {logging_mixin.py:137} INFO - Vincent Jackson
[2023-02-10T16:14:20.542+0000] {logging_mixin.py:137} INFO - Susan Carey
[2023-02-10T16:14:20.543+0000] {logging_mixin.py:137} INFO - Chase Wilson
[2023-02-10T16:14:20.544+0000] {logging_mixin.py:137} INFO - Tonya Baldwin
[2023-02-10T16:14:20.545+0000] {logging_mixin.py:137} INFO - Mrs. Tina Davis
[2023-02-10T16:14:20.546+0000] {logging_mixin.py:137} INFO - Scott Garrett
[2023-02-10T16:14:20.547+0000] {logging_mixin.py:137} INFO - Michael Wilson
[2023-02-10T16:14:20.548+0000] {logging_mixin.py:137} INFO - Andrew Orozco
[2023-02-10T16:14:20.549+0000] {logging_mixin.py:137} INFO - Troy Carson
[2023-02-10T16:14:20.550+0000] {logging_mixin.py:137} INFO - Alex Winters
[2023-02-10T16:14:20.550+0000] {logging_mixin.py:137} INFO - Toni Frank
[2023-02-10T16:14:20.551+0000] {logging_mixin.py:137} INFO - Kathleen Snyder
[2023-02-10T16:14:20.552+0000] {logging_mixin.py:137} INFO - Anna Lopez
[2023-02-10T16:14:20.553+0000] {logging_mixin.py:137} INFO - Charles Brown
[2023-02-10T16:14:20.554+0000] {logging_mixin.py:137} INFO - Barry Ross
[2023-02-10T16:14:20.555+0000] {logging_mixin.py:137} INFO - Emily Ramirez
[2023-02-10T16:14:20.556+0000] {logging_mixin.py:137} INFO - Anna Williams
[2023-02-10T16:14:20.557+0000] {logging_mixin.py:137} INFO - Kristin Pennington
[2023-02-10T16:14:20.558+0000] {logging_mixin.py:137} INFO - Mary Aguirre
[2023-02-10T16:14:20.559+0000] {logging_mixin.py:137} INFO - Austin Santos
[2023-02-10T16:14:20.560+0000] {logging_mixin.py:137} INFO - David Nelson
[2023-02-10T16:14:20.561+0000] {logging_mixin.py:137} INFO - Alyssa Mcbride
[2023-02-10T16:14:20.562+0000] {logging_mixin.py:137} INFO - Lisa Gibson
[2023-02-10T16:14:20.563+0000] {logging_mixin.py:137} INFO - Alexander Kelly
[2023-02-10T16:14:20.564+0000] {logging_mixin.py:137} INFO - Ronald Thomas
[2023-02-10T16:14:20.565+0000] {logging_mixin.py:137} INFO - Michael Hurst
[2023-02-10T16:14:20.566+0000] {logging_mixin.py:137} INFO - Lauren Ward
[2023-02-10T16:14:20.566+0000] {logging_mixin.py:137} INFO - Christian Terry
[2023-02-10T16:14:20.567+0000] {logging_mixin.py:137} INFO - Jared Black
[2023-02-10T16:14:20.568+0000] {logging_mixin.py:137} INFO - Anthony Brown
[2023-02-10T16:14:20.569+0000] {logging_mixin.py:137} INFO - John Cole
[2023-02-10T16:14:20.570+0000] {logging_mixin.py:137} INFO - David Lee
[2023-02-10T16:14:20.571+0000] {logging_mixin.py:137} INFO - Lori Thomas
[2023-02-10T16:14:20.572+0000] {logging_mixin.py:137} INFO - Daniel Herman
[2023-02-10T16:14:20.573+0000] {logging_mixin.py:137} INFO - Pam Williams
[2023-02-10T16:14:20.574+0000] {logging_mixin.py:137} INFO - Sarah Jenkins
[2023-02-10T16:14:20.574+0000] {logging_mixin.py:137} INFO - Susan Mitchell
[2023-02-10T16:14:20.575+0000] {logging_mixin.py:137} INFO - Jacqueline Green
[2023-02-10T16:14:20.576+0000] {logging_mixin.py:137} INFO - Victoria Garrison
[2023-02-10T16:14:20.577+0000] {logging_mixin.py:137} INFO - Jonathan Daniels
[2023-02-10T16:14:20.578+0000] {logging_mixin.py:137} INFO - Trevor Hansen
[2023-02-10T16:14:20.579+0000] {logging_mixin.py:137} INFO - Laurie Bowen
[2023-02-10T16:14:20.580+0000] {logging_mixin.py:137} INFO - James Cline
[2023-02-10T16:14:20.581+0000] {logging_mixin.py:137} INFO - Michael Rose
[2023-02-10T16:14:20.582+0000] {logging_mixin.py:137} INFO - Lawrence Juarez
[2023-02-10T16:14:20.583+0000] {logging_mixin.py:137} INFO - Lucas Caldwell
[2023-02-10T16:14:20.584+0000] {logging_mixin.py:137} INFO - Laura Jackson
[2023-02-10T16:14:20.585+0000] {logging_mixin.py:137} INFO - Sherri Thornton
[2023-02-10T16:14:20.586+0000] {logging_mixin.py:137} INFO - Alice Wilson
[2023-02-10T16:14:20.587+0000] {logging_mixin.py:137} INFO - Diane Williams
[2023-02-10T16:14:20.588+0000] {logging_mixin.py:137} INFO - Kara Martin
[2023-02-10T16:14:20.589+0000] {logging_mixin.py:137} INFO - Joseph Moore
[2023-02-10T16:14:20.590+0000] {logging_mixin.py:137} INFO - Jesse Moses
[2023-02-10T16:14:20.591+0000] {logging_mixin.py:137} INFO - Lisa Mccall
[2023-02-10T16:14:20.592+0000] {logging_mixin.py:137} INFO - Alexandra Mccoy
[2023-02-10T16:14:20.593+0000] {logging_mixin.py:137} INFO - Daniel Martin
[2023-02-10T16:14:20.594+0000] {logging_mixin.py:137} INFO - Claudia Peck
[2023-02-10T16:14:20.596+0000] {logging_mixin.py:137} INFO - Jessica Mcconnell
[2023-02-10T16:14:20.597+0000] {logging_mixin.py:137} INFO - Kevin Walker
[2023-02-10T16:14:20.598+0000] {logging_mixin.py:137} INFO - Christina Lee
[2023-02-10T16:14:20.599+0000] {logging_mixin.py:137} INFO - Christopher Schroeder
[2023-02-10T16:14:20.600+0000] {logging_mixin.py:137} INFO - Melissa Parker
[2023-02-10T16:14:20.601+0000] {logging_mixin.py:137} INFO - Janet Molina
[2023-02-10T16:14:20.602+0000] {logging_mixin.py:137} INFO - Barbara Harris
[2023-02-10T16:14:20.603+0000] {logging_mixin.py:137} INFO - Joseph Hurley
[2023-02-10T16:14:20.604+0000] {logging_mixin.py:137} INFO - Greg Hayden
[2023-02-10T16:14:20.605+0000] {logging_mixin.py:137} INFO - Edwin Adams
[2023-02-10T16:14:20.607+0000] {logging_mixin.py:137} INFO - Ashley Hunter
[2023-02-10T16:14:20.608+0000] {logging_mixin.py:137} INFO - Jennifer Tucker
[2023-02-10T16:14:20.609+0000] {logging_mixin.py:137} INFO - Eddie Gray
[2023-02-10T16:14:20.610+0000] {logging_mixin.py:137} INFO - Jennifer Evans
[2023-02-10T16:14:20.611+0000] {logging_mixin.py:137} INFO - Stephen Carey
[2023-02-10T16:14:20.612+0000] {logging_mixin.py:137} INFO - Samantha Campos
[2023-02-10T16:14:20.613+0000] {logging_mixin.py:137} INFO - Meagan Brown
[2023-02-10T16:14:20.614+0000] {logging_mixin.py:137} INFO - Miss Marisa Barber
[2023-02-10T16:14:20.615+0000] {logging_mixin.py:137} INFO - Jay Mann
[2023-02-10T16:14:20.616+0000] {logging_mixin.py:137} INFO - Matthew Campbell
[2023-02-10T16:14:20.617+0000] {logging_mixin.py:137} INFO - Brent Rodriguez
[2023-02-10T16:14:20.618+0000] {logging_mixin.py:137} INFO - Teresa Ross
[2023-02-10T16:14:20.619+0000] {logging_mixin.py:137} INFO - Mary Martinez
[2023-02-10T16:14:20.620+0000] {logging_mixin.py:137} INFO - Joseph Lewis
[2023-02-10T16:14:20.621+0000] {logging_mixin.py:137} INFO - Dale Davis
[2023-02-10T16:14:20.622+0000] {logging_mixin.py:137} INFO - Elizabeth Evans
[2023-02-10T16:14:20.623+0000] {logging_mixin.py:137} INFO - Shannon Wang
[2023-02-10T16:14:20.624+0000] {logging_mixin.py:137} INFO - Brandon Campbell
[2023-02-10T16:14:20.625+0000] {logging_mixin.py:137} INFO - Rhonda Pace
[2023-02-10T16:14:20.626+0000] {logging_mixin.py:137} INFO - Sarah Santos
[2023-02-10T16:14:20.627+0000] {logging_mixin.py:137} INFO - Jacob Ford
[2023-02-10T16:14:20.628+0000] {logging_mixin.py:137} INFO - Matthew Hansen
[2023-02-10T16:14:20.629+0000] {logging_mixin.py:137} INFO - Amy Ray
[2023-02-10T16:14:20.630+0000] {logging_mixin.py:137} INFO - Aaron Fields
[2023-02-10T16:14:20.632+0000] {logging_mixin.py:137} INFO - Mary Taylor
[2023-02-10T16:14:20.633+0000] {logging_mixin.py:137} INFO - James Morris
[2023-02-10T16:14:20.634+0000] {logging_mixin.py:137} INFO - Darrell Cain
[2023-02-10T16:14:20.635+0000] {logging_mixin.py:137} INFO - Michael Smith
[2023-02-10T16:14:20.636+0000] {logging_mixin.py:137} INFO - Scott Coleman
[2023-02-10T16:14:20.637+0000] {logging_mixin.py:137} INFO - David Fitzpatrick
[2023-02-10T16:14:20.638+0000] {logging_mixin.py:137} INFO - Debra Shepherd
[2023-02-10T16:14:20.639+0000] {logging_mixin.py:137} INFO - Paul Rush
[2023-02-10T16:14:20.641+0000] {logging_mixin.py:137} INFO - Brett Hernandez
[2023-02-10T16:14:20.642+0000] {logging_mixin.py:137} INFO - Sheila Riddle
[2023-02-10T16:14:20.643+0000] {logging_mixin.py:137} INFO - Joan Austin
[2023-02-10T16:14:20.644+0000] {logging_mixin.py:137} INFO - Michael Garcia
[2023-02-10T16:14:20.645+0000] {logging_mixin.py:137} INFO - Natalie Harris
[2023-02-10T16:14:20.646+0000] {logging_mixin.py:137} INFO - Steven Dean
[2023-02-10T16:14:20.648+0000] {logging_mixin.py:137} INFO - John Brown
[2023-02-10T16:14:20.649+0000] {logging_mixin.py:137} INFO - Keith Zimmerman
[2023-02-10T16:14:20.650+0000] {logging_mixin.py:137} INFO - Curtis Byrd
[2023-02-10T16:14:20.651+0000] {logging_mixin.py:137} INFO - Mariah Green
[2023-02-10T16:14:20.653+0000] {logging_mixin.py:137} INFO - Roger Huynh
[2023-02-10T16:14:20.654+0000] {logging_mixin.py:137} INFO - Christopher Zamora
[2023-02-10T16:14:20.656+0000] {logging_mixin.py:137} INFO - Joyce Crawford
[2023-02-10T16:14:20.657+0000] {logging_mixin.py:137} INFO - Angela Smith
[2023-02-10T16:14:20.658+0000] {logging_mixin.py:137} INFO - Veronica Robinson
[2023-02-10T16:14:20.660+0000] {logging_mixin.py:137} INFO - Christopher Bates
[2023-02-10T16:14:20.661+0000] {logging_mixin.py:137} INFO - Steve Stone
[2023-02-10T16:14:20.662+0000] {logging_mixin.py:137} INFO - William Cook
[2023-02-10T16:14:20.663+0000] {logging_mixin.py:137} INFO - Lori Wood
[2023-02-10T16:14:20.664+0000] {logging_mixin.py:137} INFO - Jillian Reynolds
[2023-02-10T16:14:20.665+0000] {logging_mixin.py:137} INFO - Angela Caldwell
[2023-02-10T16:14:20.666+0000] {logging_mixin.py:137} INFO - Shane Campbell
[2023-02-10T16:14:20.667+0000] {logging_mixin.py:137} INFO - Karen Lawrence
[2023-02-10T16:14:20.668+0000] {logging_mixin.py:137} INFO - Kimberly Wood
[2023-02-10T16:14:20.669+0000] {logging_mixin.py:137} INFO - Samantha Lopez
[2023-02-10T16:14:20.670+0000] {logging_mixin.py:137} INFO - Harold Miller
[2023-02-10T16:14:20.671+0000] {logging_mixin.py:137} INFO - Raymond Cooper DVM
[2023-02-10T16:14:20.672+0000] {logging_mixin.py:137} INFO - Kristen Patel
[2023-02-10T16:14:20.672+0000] {logging_mixin.py:137} INFO - Anthony Mejia
[2023-02-10T16:14:20.673+0000] {logging_mixin.py:137} INFO - Raymond Thomas
[2023-02-10T16:14:20.674+0000] {logging_mixin.py:137} INFO - Scott Young
[2023-02-10T16:14:20.675+0000] {logging_mixin.py:137} INFO - David Larson
[2023-02-10T16:14:20.676+0000] {logging_mixin.py:137} INFO - Jon Murray
[2023-02-10T16:14:20.677+0000] {logging_mixin.py:137} INFO - Stephen Taylor
[2023-02-10T16:14:20.678+0000] {logging_mixin.py:137} INFO - Jennifer Hernandez
[2023-02-10T16:14:20.679+0000] {logging_mixin.py:137} INFO - Stacy Smith
[2023-02-10T16:14:20.680+0000] {logging_mixin.py:137} INFO - Juan Owens
[2023-02-10T16:14:20.681+0000] {logging_mixin.py:137} INFO - Brian Adkins
[2023-02-10T16:14:20.682+0000] {logging_mixin.py:137} INFO - Jesse Wells
[2023-02-10T16:14:20.683+0000] {logging_mixin.py:137} INFO - Kyle Matthews
